gene,exo_peaks,endo_peaks,exo_signal,endo_signal,enrichment
9430038I01Rik,1,0,0.0032258064516128516,0.0,0.0032258064516128516
Gtf2i,0,2,0.0,0.45535582613006165,0.0
Fam76a,0,1,0.0,0.40341419586702604,0.0
Nsun2,0,3,0.0,1.1093429991502586,0.0
Gins2,2,3,1.305098539072458,1.6216003983485103,0.8048212990090605
Dnajb5,0,1,0.0,0.5768194070080862,0.0
Uba3,0,1,0.0,0.032345013477088985,0.0
Map4k4,0,3,0.0,1.5825683287360013,0.0
Ruvbl2,0,3,0.0,1.4843692296769642,0.0
Pcmtd1,1,1,0.2516129032258065,0.596585804132974,0.2516129032258065
Tor1aip1,0,1,0.0,0.1401617250673855,0.0
Marf1,0,2,0.0,0.6943408619140564,0.0
Ing1,0,6,0.0,3.1387210312885143,0.0
Nfe2l1,0,2,0.0,0.6642055528189348,0.0
Kcnj10,1,3,0.41033434650455924,0.8085456774039962,0.41033434650455924
Tob1,0,2,0.0,1.1631849304458284,0.0
Mnt,1,3,0.3032258064516129,0.7966629214934202,0.3032258064516129
L3hypdh,2,3,0.9228747916462399,2.330550978156931,0.3959899612992275
Carm1,0,3,0.0,1.3618631126772938,0.0
Gm13340,3,1,2.1355949929731675,0.28571428571428575,2.1355949929731675
Sept2,0,2,0.0,0.9181931406264522,0.0
Zfyve21,2,2,0.7278850867732131,0.8729187076015947,0.7278850867732131
Elk3,0,3,0.0,1.5863456823534523,0.0
Cdk2ap1,0,3,0.0,2.361030191745618,0.0
Mrpl47,0,1,0.0,0.2776280323450135,0.0
Sybu,0,3,0.0,0.4163398085323915,0.0
Gas5,0,1,0.0,0.36118598382749323,0.0
Amz2,2,3,0.8500931463869007,1.6382872846247056,0.5188913778218316
Ece1,0,3,0.0,1.3480863716981706,0.0
Neat1,0,3,0.0,1.9447532120411233,0.0
Tef,0,2,0.0,0.884408092449732,0.0
Ncln,0,1,0.0,0.49056603773584906,0.0
Aplp2,0,1,0.0,0.013477088948787078,0.0
Slc25a25,2,3,0.8821747230120601,2.3369964015927582,0.3774822769991525
Snhg8,0,1,0.0,0.26864330637915546,0.0
Hmgxb4,0,1,0.0,0.05211141060197662,0.0
Ggps1,2,3,0.8613099323463084,2.193591044767194,0.39264836278437637
Supt6,0,1,0.0,0.1922731356693621,0.0
Kdm4a,2,3,0.5638690067653691,1.9084569956203676,0.2954580627487896
Gatad2a,0,1,0.0,0.7097933513027853,0.0
Xpnpep1,0,1,0.0,0.3198562443845463,0.0
Cep57l1,0,1,0.0,0.2794249775381851,0.0
Zdhhc5,0,1,0.0,0.481581311769991,0.0
Por,0,1,0.0,0.32794249775381856,0.0
Gm28437,0,1,0.0,0.9568733153638814,0.0
Mplkip,0,1,0.0,0.1266846361185984,0.0
Hsp90b1,1,1,0.4483870967741935,0.13207547169811318,0.4483870967741935
Dbi,1,2,0.2705167173252279,1.0484146605942313,0.2580245464823066
Tmbim1,1,3,0.029032258064516116,1.06843328149128,0.027172738408142764
Slc31a1,0,1,0.0,0.011680143755615447,0.0
Rpl13a,0,3,0.0,1.047732106428065,0.0
Cdkn2d,2,3,0.9099519560741249,1.8678986969761688,0.48715273346846516
Pcdhgc5,0,1,0.0,0.2340862422997947,0.0
Cep57,2,3,1.5108049808804784,2.555345671474828,0.5912331148562422
Swt1,1,1,0.11290322580645161,0.5534591194968553,0.11290322580645161
Fbxl17,1,3,0.24012158054711244,0.8001819414960298,0.24012158054711244
